id,fname,lname,hand,dob,country,height
200069,Nadia,Petrova,R,6/8/1982,RUS,178
200070,Anne Gaelle,Sidot,L,7/24/1979,FRA,172
200071,Lenka,Nemeckova,R,4/20/1976,CZE,170
200072,Cara,Black,R,2/17/1979,ZIM,167
200073,Julie,Pullin,L,11/5/1975,GBR,173
200074,Jane,Chi,R,6/21/1974,USA,165
200075,Jing Qian,Yi,R,2/28/1974,CHN,168
200076,Laurence,Courtois,R,1/18/1976,BEL,172
200077,Jennifer,Capriati,R,3/29/1976,USA,170
200078,Barbara,Schwartz,L,1/27/1979,AUT,181
200079,Kim,Clijsters,R,6/8/1983,BEL,175
200080,Dominique,Monami,R,5/31/1973,BEL,170
200081,Anke,Huber,R,12/4/1974,GER,173
200082,Kristie,Boogert,R,12/16/1973,NED,178
200083,Alexandra,Stevenson,R,12/15/1980,USA,185
200084,Asa,Carlsson,R,6/16/1975,SWE,178
200085,Ai,Sugiyama,R,7/5/1975,JPN,163
200086,Magdalena,Maleeva,R,4/1/1975,BUL,168
200087,Seda,Noorlander,R,5/22/1974,NED,166
200088,Adriana,Gersi,R,6/26/1976,CZE,166
200089,Miriam,Oremans,R,9/9/1972,NED,169
200090,Anca,Barna,L,5/14/1977,GER,175
200091,Janet,Lee,R,10/22/1976,TPE,175
200092,Sandra,Nacuk,R,8/17/1980,SCG,
200093,Amelie,Cocheteux,L,3/27/1978,FRA,
200094,Barbara,Rittner,R,4/25/1973,GER,173
200095,Linda,Wild,R,2/11/1971,USA,
200096,Mary,Pierce,R,1/15/1975,FRA,178
200097,Nathalie,Tauziat,R,10/17/1967,FRA,165
200098,Henrieta,Nagyova,R,12/15/1978,SVK,177
200099,Sonya,Jeyaseelan,R,4/24/1976,CAN,157
200100,Amanda,Hopmans,R,2/11/1976,NED,167
200101,Jana,Kandarr,R,9/21/1976,GER,181
200102,Melissa,Dowse,R,4/27/1982,AUS,
200103,Evie,Dominikovic,R,5/29/1980,AUS,173
200104,Emilie,Loit,L,6/9/1979,FRA,167
200106,Angeles,Montolio,R,8/6/1975,ESP,157
200107,Paola,Suarez,R,6/23/1976,ARG,170
200108,Elena,Dementieva,R,10/15/1981,RUS,180
200109,Nathalie,Dechy,R,2/21/1979,FRA,177
200110,Fabiola,Zuluaga,R,1/7/1979,COL,172
200111,Lina,Krasnoroutskaya,R,4/29/1984,RUS,174
200112,Julie,Halard Decugis,R,9/10/1970,FRA,173
200113,Anna,Kournikova,R,6/7/1981,RUS,173
200114,Patricia,Wartusch,R,8/5/1978,AUT,175
200115,Brie,Rippner,R,1/21/1980,USA,175
200116,Natalia,Zvereva,R,4/16/1971,BLR,174
200117,Kveta,Peschke,R,7/9/1975,CZE,165
200118,Virginia,Ruano Pascual,R,9/21/1973,ESP,169
200119,Rita,Kuti Kis,L,2/13/1978,HUN,176
200120,Jelena,Dokic,R,4/12/1983,AUS,175
200121,Alina,Jidkova,R,1/18/1977,RUS,168
200122,Tina,Pisnik,R,2/19/1981,SLO,172
200123,Marlene,Weingartner,R,1/30/1980,GER,174
200124,Anne,Kremer,R,10/17/1975,LUX,165
200125,Corina,Morariu,R,1/26/1978,USA,174
200126,Marissa,Irvin,R,6/23/1980,USA,170
200127,Sarah,Pitkowski Malcor,R,11/13/1975,FRA,
200128,Lindsay,Davenport,R,6/8/1976,USA,189
200129,Lesley,Turner,R,8/16/1942,AUS,
200133,Eva,Duldig,R,,NED,
200139,Lita,Liem,L,2/27/1946,INA,
200141,Wendy,Gilchrist,L,5/17/1950,AUS,
200143,Kathleen,Harter,R,10/27/1946,USA,
200144,Margaret,Court,R,7/16/1942,AUS,175
200145,Kerry,Harris,R,9/19/1949,AUS,173
200146,Cynthia,Doerner,R,2/11/1951,AUS,168
200150,Evonne,Goolagong,R,7/31/1951,AUS,168
200152,Gail,Sherriff,R,4/3/1945,FRA,
200158,Carol,Sherriff,R,10/20/1946,AUS,
200159,Rosie,Casals,R,9/16/1948,USA,157
200160,Judy,Tegart,R,12/12/1937,AUS,
200168,Karen,Krantzcke,R,2/1/1947,AUS,188
200176,Kerry,Reid,R,8/7/1947,AUS,166
200179,Barbara,Hawcroft,R,10/13/1950,AUS,
200184,Helen,Gourlay,R,12/23/1946,AUS,166
200185,Lesley,Hunt,R,5/29/1950,AUS,168
200188,Helen,Amos,R,6/30/1948,AUS,
200190,Billie Jean,King,R,11/22/1943,USA,168
200193,Ann,Jones,L,10/7/1938,GBR,
200194,Francoise,Durr,R,12/25/1942,FRA,162
200209,Wendy,Turnbull,R,11/26/1952,AUS,164
200211,Winnie,Shaw,R,1/18/1947,GBR,
200212,Elizabeth,Allan,R,11/28/1946,AUS,
200213,Jan,Lehane,R,7/9/1941,AUS,
200214,Christina,Sandberg,R,1/11/1948,SWE,
200215,Susan,Alexander,R,,AUS,
200220,Patti,Hogan,R,12/21/1949,USA,
200221,Dianne,Fromholtz,L,8/10/1956,AUS,165
200223,Sharon,Walsh Pete,R,2/24/1952,USA,174
200225,Helen,Worland,R,4/28/1950,AUS,
200228,Olga,Morozova,R,2/22/1949,URS,170
200233,Chris,Matison,R,10/29/1951,AUS,
200237,Virginia,Wade,R,7/10/1945,GBR,170
200238,Nathalie,Fuchs,R,9/3/1952,FRA,
200240,Eugenia,Birioukova,R,12/18/1952,AZE,
200243,Glynis,Coles,R,2/20/1954,GBR,173
200256,Chris,Oneil,R,3/19/1956,AUS,175
200259,Chris,Evert,R,12/21/1954,USA,168
200263,Janet,Newberry,R,8/6/1953,USA,170
200264,Helena,Anliot,R,9/26/1956,SWE,168
200265,Lindsey,Beaven,R,1/1/1950,GBR,
200266,Sue,Barker,R,4/19/1956,GBR,165
200274,Julie,Heldman,R,12/8/1945,USA,170
200275,Ann,Kiyomura Hayashi,R,8/22/1955,USA,
200283,Pam,Teeguarden,R,4/17/1951,USA,178
200286,Peggy,Michel,R,2/2/1949,USA,
200288,Sue,Mappin,R,7/11/1947,GBR,
200291,Dianne,Evers,R,11/9/1956,AUS,
200293,Martina,Navratilova,L,10/18/1956,USA,173
200298,Laura,Dupont,R,5/4/1949,USA,
200302,Linda,Mottram,R,5/17/1957,GBR,
200315,Nina,Bohm,R,4/30/1958,SWE,
200316,Heidi,Eisterlehner,R,10/25/1949,GER,172
200317,Helga,Masthoff,R,11/11/1941,FRG,
200320,Renata,Tomanova,R,12/9/1954,GER,168
200324,Beth,Norton,R,6/13/1957,USA,
200325,Leanne,Harrison Austin,L,4/10/1958,AUS,168
200332,Amanda,Tobin,R,6/8/1960,AUS,168
200333,Betsy,Nagelsen,R,10/23/1956,USA,175
200334,Sabina,Simmonds,R,4/17/1960,ITA,170
200337,Virginia,Ruzici,R,1/31/1955,ROU,173
200339,Linda,Cassell,R,4/24/1962,AUS,
200343,Susan,Leo,R,8/10/1962,AUS,
200344,Barbara,Jordan,R,4/2/1957,USA,165
200346,Anne,Minter,R,4/3/1963,AUS,165
200348,Hana,Mandlikova,R,2/19/1962,AUS,173
200352,Greer,Stevens,R,2/15/1957,RSA,168
200354,Claudia,Kohde Kilsch,R,12/11/1963,GER,187
200355,Diane,Desfor,R,6/15/1955,USA,165
200356,Betty,Stove,R,6/24/1945,NED,185
200357,Rosalyn,Fairbank,R,11/2/1960,USA,173
200358,Marcie,Louie,R,9/10/1953,USA,
200359,Christiane,Jolissaint,R,9/12/1961,SUI,173
200360,Pam,Shriver,R,7/4/1962,USA,183
200361,Marie,Pinterova,R,8/16/1946,HUN,175
200362,Liz,Smylie,R,4/11/1963,AUS,170
200363,Hana,Strachonova,R,1/2/1961,SUI,165
200364,Barbara,Hallquist,R,5/1/1957,USA,173
200365,Tanya,Harford,R,11/28/1958,RSA,162
200366,Sylvia,Hanika,L,11/30/1959,GER,173
200369,Candy,Reynolds,R,3/24/1955,USA,173
200371,Mima,Jausovec,R,7/20/1956,SLO,160
200372,Bettina,Bunge,R,6/13/1963,GER,173
200373,Bonnie,Gadusek,R,9/11/1963,USA,
200374,Helga,Lutten,R,7/27/1961,GER,
200375,Barbara,Potter,L,10/22/1961,USA,175
200376,Katerina,Bohmova,L,1/22/1958,CZE,
200377,Helena,Sukova,R,2/23/1965,CZE,188
200378,Anne,Smith,R,7/1/1959,USA,165
200379,Paula,Smith,R,1/10/1957,USA,170
200380,Nancy,Yeargin,R,5/22/1955,USA,
200381,Andrea,Jaeger,R,6/4/1965,USA,168
200382,Isabelle,Villiger,R,11/24/1962,SUI,
200383,Anne,Hobbs,R,8/21/1959,GBR,167
200384,Eva,Pfaff,R,2/10/1961,GER,175
200387,Anne,White,R,9/28/1961,USA,180
200388,Leslie,Allen,R,3/12/1957,USA,
200389,Kathy,Jordan,R,12/3/1959,USA,173
200390,Mary Lou,Piatek,R,8/6/1961,USA,
200391,Sherry,Acker,R,6/6/1959,USA,173
200392,Jo,Durie,R,7/27/1960,GBR,163
200393,Lea,Antonoplis,R,1/20/1959,USA,165
200394,Marjorie,Blackwood,R,5/1/1957,CAN,
200395,Catherine,Tanvier,R,5/28/1965,FRA,174
200397,Tracy,Austin,R,12/12/1962,USA,165
200399,Jennifer,Mundel,L,1/20/1962,RSA,178
200400,Kate,Latham,R,10/25/1952,USA,168
200401,Manuela,Maleeva Fragniere,R,2/14/1967,SUI,173
200402,Wendy,White,R,9/29/1960,USA,
200403,Andrea,Leand,R,1/18/1964,USA,173
200404,Zina,Garrison,R,11/16/1963,USA,164
200405,Susan,Mascarin,R,6/28/1964,USA,173
200407,Camille,Benjamin,L,6/2/1966,USA,175
200408,Alycia,Moulton,R,2/18/1961,USA,
200409,Petra,Delhees Jauch,L,3/28/1959,SUI,
200410,Yvonne,Vermaak,R,12/18/1956,RSA,156
200412,Vicki,Nelson,R,9/25/1962,USA,168
200413,Heather,Ludloff,R,6/11/1961,USA,165
200414,Steffi,Graf,R,6/14/1969,GER,175
200415,Catherine,Suire,R,9/15/1959,FRA,167
200416,Robin,White,R,12/10/1963,USA,164
200421,Pascale,Paradis Mangon,R,4/24/1966,FRA,
200423,Carling,Bassett Seguso,R,10/9/1967,CAN,168
200424,Etsuko,Inoue,R,10/18/1964,JPN,164
200425,Sophie,Amiach,R,11/10/1963,FRA,165
200427,Beth,Herr,R,5/28/1964,USA,170
200429,Elizabeth,Minter,L,8/23/1965,AUS,
200433,Kim,Jones,R,9/28/1957,USA,
200437,Annabel,Croft,R,7/12/1966,GBR,
200440,Shawn,Foltz,R,12/21/1967,USA,
200442,Andrea,Temesvari,R,4/26/1966,HUN,182
200443,Sara,Gomer,L,5/13/1964,GBR,188
200444,Elise,Burgin,L,3/5/1962,USA,
200446,Colleen,Carney,R,1/23/1967,AUS,
200451,Beverly,Mould,R,3/13/1962,RSA,160
200453,Catarina,Lindqvist Ryan,R,6/13/1963,SWE,165
200455,Katerina,Maleeva,R,5/7/1969,BUL,168
200456,Masako,Yanagi,L,11/11/1959,JPN,
200461,Lisa,Spain Short,R,7/14/1962,USA,
200462,Belinda,Cordwell,L,9/21/1965,NZL,175
200463,Terry,Holladay,L,11/28/1955,USA,180
200465,Lisa,Bonder Kreiss,R,10/16/1965,USA,
200466,Molly,Van Nostrand,R,3/12/1965,USA,
200469,Nicole,Bradtke,R,9/22/1969,AUS,176
200472,Helen,Kelesi,R,11/15/1969,CAN,
200473,Beverly,Bowes,R,9/9/1965,USA,
200482,Judith,Wiesner,R,3/2/1966,AUT,
200484,Ann,Devries,R,2/27/1970,BEL,
200485,Manon,Bollegraf,R,4/10/1964,NED,173
200487,Eva,Krapl,R,1/16/1966,SUI,180
200492,Tina,Mochizuki,R,11/24/1952,USA,
200494,Dianne,Van Rensburg,R,3/4/1968,RSA,
200497,Patricia,Hy Boulais,R,8/22/1965,CAN,163
200498,Michelle,Jaggard Lai,R,5/6/1969,AUS,146
200503,Gretchen,Magers,R,2/7/1964,USA,170
200505,Michelle,Bowrey,R,7/12/1970,AUS,
200506,Wiltrud,Probst,R,5/29/1969,GER,170
200508,Virginie,Paquet,R,5/6/1967,FRA,
200514,Monique,Javer,R,7/22/1967,GBR,
200522,Nicole,Jagerman,R,7/23/1967,NED,179
200524,Karen,Deed,R,10/29/1968,AUS,
200528,Katie,Rickett,R,8/19/1968,GBR,
200530,Radomira,Zrubakova,R,12/26/1970,SVK,169
200533,Pam,Casale,R,12/20/1963,USA,
200534,Melissa,Brown,R,4/11/1968,USA,
200536,Stephanie,Faulkner,R,5/11/1969,AUS,
200538,Akemi,Nishiya,R,3/11/1965,JPN,
200539,Jana,Novotna,R,10/2/1968,CZE,175
200542,Clare,Wood,R,3/8/1968,GBR,
200543,Jill,Hetherington,R,10/27/1964,CAN,170
200547,Sandra,Wasserman,R,3/10/1970,BEL,173
200548,Patty,Fendick,R,3/31/1965,USA,165
200549,Penny,Barg,R,4/11/1964,USA,
200554,Brenda,Schultz Mccarthy,R,12/28/1970,NED,188
200557,Katrina,Adams,R,8/5/1968,USA,165
200559,Kristine,Kunce,R,3/3/1970,AUS,177
200560,Rene,Simpson,L,1/14/1966,CAN,165
200564,Hester,Witvoet,L,7/7/1967,NED,
200567,Jennifer,Santrock,L,2/26/1969,USA,
200572,Gabriela,Sabatini,R,5/16/1970,ARG,175
200573,Cecilia,Dahlman,R,7/24/1968,SWE,178
200576,Nathalie,Herreman,L,3/28/1966,FRA,
200578,Rennae,Stubbs,R,3/26/1971,AUS,178
200579,Karin,Kschwendt,R,9/14/1968,AUT,175
200584,Laura,Golarsa,R,11/27/1967,ITA,165
200585,Kathy,Horvath,R,8/25/1965,USA,170
200597,Mary Joe,Fernandez,R,8/19/1971,USA,175
200601,Leila,Meskhi,R,1/5/1968,GEO,164
200602,Shaun,Stafford,R,12/13/1968,USA,180
200604,Barbara,Paulus,R,9/1/1970,AUT,177
200606,Nana,Smith,R,4/10/1971,JPN,163
200612,Natalia,Medvedeva,R,11/15/1971,UKR,176
200613,Lise,Gregory,L,8/29/1963,RSA,
200617,Kimiko,Date Krumm,R,9/28/1970,JPN,163
200620,Kirrily,Sharpe,L,2/25/1973,AUS,
200621,Isabelle,Demongeot,R,9/18/1966,FRA,
200626,Emanuela,Zardo,L,4/24/1970,SUI,
200627,Petra,Schwarz,R,5/24/1972,AUT,168
200630,Laura,Arraya,R,1/12/1964,PER,173
200637,Catherine,Barclay,R,6/12/1973,AUS,171
200640,Mercedes,Paz,R,6/27/1966,ARG,180
200641,Patricia,Tarabini,R,8/6/1968,ARG,165
200644,Naoko,Sawamatsu,R,3/23/1973,JPN,167
200648,Marketa,Kochta,R,7/14/1975,GER,168
200649,Ginger,Helgeson,R,9/14/1968,USA,
200650,Isabel,Cueto,R,12/3/1968,GER,
200652,Monica,Seles,L,12/2/1973,USA,178
200653,Yayuk,Basuki,R,11/30/1970,INA,164
200655,Nicole,Arendt,L,8/26/1969,USA,177
200657,Radka,Bobkova,R,2/12/1973,CZE,172
200658,Fang,Li,R,1/1/1973,CHN,166
200659,Rika,Hiraki,R,12/6/1971,JPN,157
200660,Kimberly,Po Messerli,R,10/20/1971,USA,157
200661,Samantha,Smith,R,11/27/1971,GBR,
200662,Joanne,Limmer,R,3/29/1974,AUS,
200664,Stephanie,Rehe,R,11/5/1969,USA,180
200665,Yone,Kamio,R,11/22/1971,JPN,164
200666,Marion,Maruska,R,12/15/1972,AUT,172
200667,Ines,Gorrochategui,R,6/13/1973,ARG,169
200669,Debbie,Graham,R,8/25/1970,USA,183
200671,Meike,Babel,R,11/22/1974,GER,173
200672,Barbara,Mulej,R,5/29/1974,SLO,
200673,Susan,Sloane Lundy,R,12/5/1970,USA,
200674,Bettina,Fulco,R,10/23/1968,ARG,
200675,Eugenia,Maniokova,R,5/17/1968,RUS,178
200676,Mana,Endo,R,2/6/1971,JPN,160
200677,Katja,Oeljeklaus,R,2/10/1971,GER,
200678,Gloria,Pizzichini,R,7/24/1975,ITA,163
200680,Nadin,Ercegovic,R,2/2/1973,CRO,177
200682,Joannette,Kruger,R,9/3/1973,RSA,179
200683,Monique,Kiene,R,8/5/1974,NED,
200684,Shi Ting,Wang,R,10/19/1973,TPE,171
200685,Christelle,Fauche,R,6/9/1973,SUI,
200691,Flora,Perfetti,R,1/29/1969,ITA,159
200693,Elena,Makarova,R,2/1/1973,RUS,
200695,Tina,Krizan,R,3/18/1974,SLO,175
200696,Christina,Papadaki,R,2/24/1973,GRE,
200697,Janette,Husarova,R,6/4/1974,SVK,169
200698,Petra,Begerow,R,4/14/1975,GER,178
200700,Silvia,Farina Elia,R,4/27/1972,ITA,172
200701,Caroline,Vis,R,3/4/1970,NED,180
200702,Naoko,Kijimuta,R,3/26/1972,JPN,164
200703,Katarina,Studenikova,R,9/2/1972,SVK,172
200706,Catalina,Cristea,R,6/2/1975,ROU,178
200707,Romana,Tedjakusuma,R,7/24/1976,INA,
200708,Sandra,Cacic,R,9/10/1974,USA,
200709,Rossana,De Los Rios,R,9/16/1975,PAR,170
200713,Yuka,Yoshida,R,4/1/1976,JPN,161
200714,Yvette,Basting,R,6/8/1977,NED,175
200715,Mariaan,De Swardt,R,3/18/1971,RSA,177
200716,Sung Hee,Park,R,2/17/1975,KOR,165
200717,Anne,Miller,R,1/19/1977,USA,
200720,Dally,Randriantefy,R,2/23/1977,MAD,165
200722,Francesca,Lubiani,L,7/12/1977,ITA,168
200723,Iva,Majoli,R,8/12/1977,CRO,175
200724,Lea,Ghirardi,R,2/10/1974,FRA,173
200725,Sandra,Cecchini,R,2/27/1965,ITA,170
200726,Nancy,Feber,L,2/5/1976,BEL,160
200727,Adriana,Serra Zanetti,R,3/5/1976,ITA,160
200728,Melanie,Schnell,R,2/22/1977,AUT,
200729,Lindsay,Lee Waters,R,6/28/1977,USA,
200732,Magdalena,Grzybowska,R,11/22/1978,POL,184
200733,Trudi,Musgrave,L,9/10/1977,AUS,170
200734,Tatjana,Jecmenica,R,7/4/1978,SRB,180
200735,Miho,Saeki,R,3/18/1976,JPN,168
200737,Aleksandra,Olsza,R,12/8/1977,POL,165
200738,Lenka,Cenkova,R,1/24/1977,CZE,175
200739,Stephanie,De Ville,R,7/24/1976,BEL,172
200740,Elena,Tatarkova,L,8/22/1976,UKR,170
200742,Olga,Lugina,R,1/8/1974,UKR,170
200743,Nirupama,Vaidyanathan,R,12/8/1976,IND,170
200744,Svetlana,Krivencheva,R,12/30/1973,BUL,180
200745,Andrea,Glass,R,7/17/1976,GER,168
200746,Sandra,Kloesel,R,6/22/1979,GER,173
200747,Haruka,Inoue,R,6/7/1977,JPN,168
200748,Venus,Williams,R,6/17/1980,USA,185
200749,Samantha,Reeves,R,1/17/1979,USA,173
200750,Karin,Miller,R,12/10/1977,USA,155
200751,Conchita,Martinez Granados,R,1/20/1976,ESP,
200752,Raluca,Sandu,R,2/3/1980,ROU,177
200753,Cindy,Watson,R,3/24/1978,AUS,
200754,Jill,Craybas,R,7/4/1974,USA,160
200758,Rayni,Fox,R,5/24/1956,USA,163
200759,Katja,Ebbinghaus,R,6/1/1948,FRG,173
200763,Cathy,Drury,R,3/25/1960,GBR,
200764,Elena,Bovina,R,3/10/1983,RUS,189
200765,Katalin,Marosi,R,11/12/1979,HUN,178
200766,Jennifer,Hopkins,R,2/10/1981,USA,170
200767,Holly,Parkinson,R,2/10/1979,USA,
200768,Laurence,Andretto,R,5/14/1973,FRA,
200769,Giulia,Casoni,R,4/19/1978,ITA,169
200770,Stephanie,Cohen Aloro,R,3/18/1983,FRA,175
200771,Sophie,Erre,R,4/6/1979,FRA,170
200772,Anastasia,Myskina,R,7/8/1981,RUS,174
200773,Stephanie,Foretz Gacon,R,5/3/1981,FRA,166
200774,Vanessa,Webb,L,1/24/1976,CAN,180
200776,Angelika,Bachmann,R,5/16/1979,GER,
200777,Marta,Marrero,R,1/16/1983,ESP,173
200779,Maryna,Godwin,R,9/9/1944,RSA,
200781,Edda,Buding,R,11/13/1936,FRG,
200787,Fiorella,Bonicelli,R,12/21/1951,URU,170
200791,Rosie,Reyes,R,3/23/1939,FRA,
200804,Anna,Dmitrieva,L,12/10/1940,URS,
200807,Ulla,Sandulf,L,1/30/1943,SWE,
200810,Annette,Van Zyl,R,9/25/1943,RSA,180
200813,Ingrid,Bentzer,R,12/6/1943,SWE,
200815,Roberta,Beltrame,R,4/19/1938,ITA,
200818,Faye,Urban,R,10/28/1945,CAN,
200819,Nicole,Niox Chateau,L,,FRA,
200822,Ilse,Buding,R,11/22/1939,FRG,
200824,Galina,Baksheeva,R,7/12/1945,URS,
200827,Suzanne,Schmitt,R,10/18/1928,FRA,
200829,Nancy,Richey,R,8/23/1942,USA,160
200835,Janine,Lieffrig,R,4/12/1938,FRA,
200845,Patricia,Walkden,R,2/12/1946,RSA,
200848,Maria,Bueno,R,10/11/1939,BRA,170
200849,Francesca,Gordigiani,R,12/20/1940,ITA,
200850,Monique,Salfati,R,5/18/1945,ITA,
200854,Maria Teresa,Nasuelli,R,7/19/1947,ITA,
200860,Kristy,Pigeon,L,8/12/1950,USA,
200862,Valerie,Ziegenfuss,R,6/29/1949,USA,173
200865,Heather,Nicholls,L,7/25/1931,RSA,
200866,Linda,Tuero,R,10/21/1950,USA,163
200871,Tory Ann,Fretz,R,8/8/1942,USA,
200877,Helga,Schultze,R,2/2/1940,GER,
200887,Trudy,Groenman,L,1/15/1944,NED,
200890,Sonja,Pachta,R,4/25/1941,AUT,
200896,Nancy,Ornstein,R,7/31/1952,USA,
200897,Heide,Orth,R,8/10/1942,GER,
200900,Barbara,Downs,R,3/4/1954,USA,
200901,Nell,Truman,R,12/12/1945,GBR,
200904,Kristien,Shaw,L,7/25/1952,USA,168
200905,Mariana,Simionescu,R,11/27/1956,ROU,
200910,Janet,Haas,R,6/28/1953,USA,
200911,Linky,Boshoff,R,11/12/1956,RSA,
200918,Robin,Tenney,L,5/13/1958,USA,
200919,Elvira,Weisenberger,R,12/24/1949,ARG,
200921,Patricia,Reese,R,,USA,
200924,Penny,Moor,L,7/7/1951,GBR,
200929,Elly,Appel,R,7/27/1952,NED,
200930,Julie,Anthony,R,1/13/1948,USA,
200931,Marina,Kroschina,R,4/18/1953,URS,
200933,Laurie,Fleming,R,6/14/1955,USA,
200935,Florenta,Mihai,R,9/2/1955,ROU,165
200936,Iris,Riedel Kuhn,R,3/16/1954,FRG,
200938,Kathy,May,R,6/18/1956,USA,173
200940,Ilana,Kloss,L,3/12/1956,RSA,164
200942,Kathy,Kuykendall,R,11/23/1956,USA,
200944,Rowena,Sanders,R,6/30/1953,RSA,
200945,Marita,Redondo,R,2/19/1956,USA,165
200947,Susie,Mehmedbasich,R,9/16/1957,USA,
200948,Brigette,Cuypers,R,12/3/1955,RSA,169
200950,Marise,Kruger,R,7/17/1958,RSA,168
200953,Viviana,Gonzalez,R,4/22/1958,ARG,
200955,Mary,Carillo,L,3/12/1957,USA,183
200956,Carrie,Meyer,R,8/22/1955,USA,
200959,Mareen,Louie Harper,R,8/15/1960,USA,
200961,Ivanna,Madruga,R,1/27/1961,ARG,
200963,Caroline,Stoll,R,11/4/1960,USA,
200965,Emilse,Raponi Longo,R,12/19/1957,USA,
200968,Betty Ann,Grubb,R,2/26/1950,USA,175
200976,Stacy,Margolin,L,4/5/1959,USA,161
200980,Debbie,Freeman,R,6/5/1962,AUS,
200988,Jenny,Klitch,R,4/19/1965,USA,
200991,Joanne,Russell,R,10/30/1954,USA,173
200994,Michelle,Torres,R,6/27/1967,USA,
201017,Angelika,Kanellopoulou,R,12/18/1965,GRE,
201018,Rene,Uys,R,7/26/1964,RSA,
201019,Melissa,Gurney,R,6/24/1969,USA,
201021,Laura,Garrone,R,11/15/1967,ITA,166
201029,Kathleen,Cummings,R,9/5/1961,USA,165
201037,Karolina,Karlsson,R,5/27/1966,SWE,
201046,Silvia,La Fratta,R,11/5/1967,ITA,
201054,Katia,Piccolini,R,1/15/1973,ITA,168
201062,Amelie,Castera,L,4/9/1978,FRA,
